record_id,item_name,item_category,product_weight_g,recommended_pouch_type,material_type,width_cm,height_cm,gusset_cm,thickness_micron,printing_type,zip_lock,food_grade,barrier_level,shelf_life_months,quantity,film_weight_g_per_pouch,material_rate_per_kg_inr,printing_cost_per_pouch_inr,making_cost_per_pouch_inr,wastage_percent,margin_percent,actual_cost_per_pouch_inr,description_for_semantic_search
1,Fertilizer Sample,agri,1000,side gusset,PET+PE,35.9,61.3,4.9,90,1 color,no,yes,medium,18,1000,393.56,140.47,0.63,4.31,3,12,69.37,1000g fertilizer sample side gusset pouch PET+PE 90 micron 1 color printing without zip lock medium barrier suitable for agri
2,Seeds,agri,100,3-side seal,BOPP+CPP,11.2,15.1,0,65,full color,no,no,low,18,1000,20.23,156.69,1.49,0.95,5,15,6.62,100g seeds 3-side seal pouch BOPP+CPP 65 micron full color printing without zip lock low barrier suitable for agri
3,Dry Fruits,premium food,250,stand-up,PET+ALU+PE,16.3,22.3,3.7,60,2 color,yes,yes,high,12,500,46.79,280.42,0.98,2.5,6,10,19.43,250g dry fruits stand-up pouch PET+ALU+PE 60 micron 2 color printing with zip lock high barrier suitable for premium food
4,Fertilizer Sample,agri,1500,side gusset,LDPE,48.2,81.6,12.7,90,full color,no,no,low,18,500,752.7,118.9,1.49,6.04,8,15,120.36,1500g fertilizer sample side gusset pouch LDPE 90 micron full color printing without zip lock low barrier suitable for agri
5,Protein Powder,nutrition,250,flat bottom,PET+ALU+PE,16.2,24.9,3.1,130,full color,yes,yes,high,18,10000,108.5,247.72,1.1,2.88,4,15,35.32,250g protein powder flat bottom pouch PET+ALU+PE 130 micron full color printing with zip lock high barrier suitable for nutrition
6,Namkeen,snack,100,center seal,PET+PE,8.8,15.2,0,80,2 color,no,yes,medium,6,5000,19.69,157.38,0.85,0.92,6,18,6.38,100g namkeen center seal pouch PET+PE 80 micron 2 color printing without zip lock medium barrier suitable for snack
7,Fertilizer Sample,agri,2000,side gusset,PET+PE,51.1,77.7,11.8,80,1 color,no,no,medium,18,1000,673.21,158.01,0.63,7.76,4,20,143.28,2000g fertilizer sample side gusset pouch PET+PE 80 micron 1 color printing without zip lock medium barrier suitable for agri
8,Namkeen,snack,200,center seal,BOPP+CPP,11.7,17.6,0,100,full color,no,yes,low,6,25000,37.89,144.48,1.1,1.19,7,10,8.84,200g namkeen center seal pouch BOPP+CPP 100 micron full color printing without zip lock low barrier suitable for snack
9,Tea Leaves,dry food,375,3-side seal,PET+PE,19.0,32.9,0,75,full color,no,yes,medium,12,2000,86.26,228.37,1.3,1.69,4,20,28.61,375g tea leaves 3-side seal pouch PET+PE 75 micron full color printing without zip lock medium barrier suitable for dry food
10,Fertilizer Sample,agri,1500,side gusset,LDPE,42.3,65.4,6.2,80,rotogravure,no,yes,low,18,2000,445.82,159.75,1.55,6.04,5,12,92.46,1500g fertilizer sample side gusset pouch LDPE 80 micron rotogravure printing without zip lock low barrier suitable for agri
11,Pet Food,pet food,500,stand-up,PET+ALU+PE,21.0,33.9,7.7,65,rotogravure,yes,yes,high,12,500,104.48,199.17,1.78,3.33,7,18,33.05,500g pet food stand-up pouch PET+ALU+PE 65 micron rotogravure printing with zip lock high barrier suitable for pet food
12,Frozen Peas,frozen food,250,stand-up,NYLON+PE,17.9,25.0,2.9,80,full color,yes,yes,high,6,25000,73.51,164.82,1.1,2.5,7,12,18.0,250g frozen peas stand-up pouch NYLON+PE 80 micron full color printing with zip lock high barrier suitable for frozen food
13,Potato Chips,snack,50,center seal,BOPP+CPP,8.1,11.2,0,70,rotogravure,no,yes,low,6,500,11.68,126.37,1.78,0.79,6,12,4.88,50g potato chips center seal pouch BOPP+CPP 70 micron rotogravure printing without zip lock low barrier suitable for snack
14,Granola,healthy snack,500,stand-up,Kraft+PE,23.7,36.0,5.3,55,1 color,yes,yes,medium,8,5000,99.06,218.68,0.55,3.33,8,10,30.12,500g granola stand-up pouch Kraft+PE 55 micron 1 color printing with zip lock medium barrier suitable for healthy snack
15,Granola,healthy snack,375,stand-up,PET+PE,20.8,30.4,3.7,60,1 color,yes,yes,medium,8,1000,78.3,178.93,0.63,2.91,7,10,20.44,375g granola stand-up pouch PET+PE 60 micron 1 color printing with zip lock medium barrier suitable for healthy snack
16,Frozen Peas,frozen food,500,3-side seal,PET+PE,22.2,37.6,0,55,2 color,no,yes,medium,6,1000,84.47,152.89,0.98,2.02,3,18,19.25,500g frozen peas 3-side seal pouch PET+PE 55 micron 2 color printing without zip lock medium barrier suitable for frozen food
17,Shampoo,personal care,150,3-side seal,NYLON+PE,10.9,15.0,0,110,1 color,no,yes,high,24,1000,33.09,169.24,0.63,1.08,5,10,8.23,150g shampoo 3-side seal pouch NYLON+PE 110 micron 1 color printing without zip lock high barrier suitable for personal care
18,Sauce,liquid food,100,spout pouch,PET+PE,11.4,17.2,3.4,120,none,yes,yes,medium,9,1000,51.85,160.52,0.0,3.68,7,10,14.25,100g sauce spout pouch pouch PET+PE 120 micron none printing with zip lock medium barrier suitable for liquid food
